Community,MLS,Status,SizeSqFt,Price
Silver Springs,A2260070,A,1249.91,560000.0
South Calgary,A2269237,A,1004.0,539900.0
Southview,A2267550,A,951.27,495000.0
Southview,A2271983,A,928.4,485000.0
Southwood,A2248844,A,1243.0,599000.0
Southwood,A2267262,A,1288.0,599000.0
Southwood,A2270130,A,1202.09,579900.0
Springbank Hill,A2242735,A,1959.0,829999.0
Springbank Hill,A2261319,A,2314.0,819000.0
Springbank Hill,A2265903,A,2128.0,854000.0
Springbank Hill,A2267356,A,1560.0,674900.0
Strathcona Park,A2264872,A,1577.0,619900.0
Sundance,A2256851,A,1630.8,599000.0
Sundance,A2263214,A,1067.0,525000.0
Sundance,A2266284,A,1159.9,549900.0
Sundance,A2269327,A,2153.61,650000.0
Sundance,A2271250,A,1804.0,649900.0
Sundance,A2271576,A,1209.84,529900.0
Taradale,A2250048,A,1588.0,490000.0
Temple,A2228394,A,1200.87,499900.0
Temple,A2265898,A,1248.09,460000.0
Temple,A2268247,A,1209.0,479900.0
Temple,A2270876,A,1525.0,495000.0
Thorncliffe,A2251987,A,1529.17,585000.0
Tuscany,A2243052,A,1928.0,700000.0
Tuscany,A2264484,A,2282.42,829900.0
Tuxedo Park,A2240440,A,1913.48,755000.0
Tuxedo Park,A2269352,A,1189.0,599000.0
Tuxedo Park,A2271771,A,1197.0,579900.0
Valley Ridge,A2259449,A,2067.0,730000.0
Valley Ridge,A2264621,A,1322.88,574888.0
Valley Ridge,A2265386,A,1908.52,775000.0
Valley Ridge,A2268163,A,1537.19,649900.0
Varsity,A2242505,A,2161.0,849900.0
Walden,A2267526,A,2384.0,699000.0
West Hillhurst,A2253184,A,1567.0,799900.0
West Hillhurst,A2268958,A,1590.15,775000.0
West Springs,A2252175,A,2644.2,1025000.0
Westgate,A2265451,A,1323.22,749900.0
Whitehorn,A2258604,A,1164.0,474900.0
Whitehorn,A2260006,A,1160.0,454900.0
Whitehorn,A2260404,A,1190.02,479900.0
Whitehorn,A2263984,A,1430.76,524900.0
Whitehorn,A2264300,A,812.0,449900.0
Whitehorn,A2268450,A,1409.0,499900.0
Whitehorn,A2270446,A,818.6,469900.0
Wildwood,A2255680,A,950.57,640000.0
Wildwood,A2258769,A,1061.3,699900.0
Wildwood,A2261873,A,1074.0,649900.0
Winston Heights/Mountview,A2256402,A,1624.21,649900.0
Woodbine,A2258605,A,1522.5,589000.0
Woodbine,A2268973,A,1391.54,549999.0
Woodbine,A2271803,A,1331.0,515000.0
Woodbine,A2271714,A,2023.49,669000.0
